 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 22063 
 NOMBRE    : QUERETARO (DGE) 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
MÍNIMA	0	0	0	0	1.2	0.1	10.9	5.8	0	0	0	0	0	0	
MÁXIMA	22.7	47.4	94.7	34.9	88	88.9	67.1	80	85.9	53.6	26.5	22.1	354.7	34.2	
MEDIA	5.9	7.5	7.7	7.1	21.3	33.5	36.7	28.8	33.9	17.1	7.6	4.9	166.3	15.8	
DESV.ST	6.6	11.2	18.9	9.4	20.1	21.9	17.3	17.9	20.7	15.8	7.8	6.8	96.8	7.9	

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982						41.3	60.8	36.2	20.21	75.2		26.3	260.01	43.3	6
1983	15.7	5.6	16.9	0	16.9	29.3							84.4	14.1	6
1984	23.4	18.4	0	0	13.8	44.6	181.1	69.2	73.5	16.3	2.3	19.2	461.8	38.5	12
1985	3.2	0.2	0	70.3	100.9	222.9	139.9	69.3	33.3	42.1	8.5	8.2	698.8	58.2	12
1988							154.1					0	154.1	77	2
1989	1.2	13.6	0	2.1	41	84.2	59.5	125.6	0	2	3.5	21	353.7	29.5	12
1990	0	16.3	5.4	0	61.4	31.1	180.7	76.6	56.5	81.4	14.6	1.6	525.6	43.8	12
1991	7.5	4.8	0	1	7.5	193.5	254.9	12.1	121.5	11.6	4.3	14.9	633.6	52.8	12
1992	93.8	22.3	6.8	11.4	54.5	92.4	160.5	130.2	139.1	85.2	10.2	0	806.4	67.2	12
1993	5.7	1.2	6.8	12.1	11.3	151	143.6	18.5	59.1	10.2	28.5	0	448	37.3	12
1994	9.7	0	6.7	36.6	37.5	85.3	54.6	99.8	97.7	31.1	0	0	459	38.2	12
1995	5.9	1.3	0	10.2	115	108.3	26	162.8	107.9	25.7	13	32.3	608.4	50.7	12
1996	0	0	0	0	32.6								32.6	6.5	5
2002	24.7	22.1	0	38.8	21.1	60.7	154.4	133.4	62.8	63.9	14.2	0	596.1	49.7	12
2003	7.6												7.6	7.6	1
2005	4.31	10.12	14.02	3.01	3.42	0.15							35.03	5.8	6
2006	26.22	2.01	11.55	20.74	107.34	20.32							188.18	31.4	6
2007	7.81	20	1.12	6.43	30.35	125.04	225.41	94.11	95.12	40.01	14.22	0.71	660.33	55	12
2008	0.03	0.01	0.3	13.51	19.63	91.63	112.42	199.41	98.36	2.53	0	0	537.83	44.8	12
2009	6.92	0	3.82	3.82	20.04	43.01	68.74	14.82	220.83	33.94	0.91	21.2	438.05	36.5	12
2010	61	160.92	0.4	9.01	2.93	19.44	181.64	57.31	64.45	0.01	0	0	557.11	46.4	12
2011	0.71	0.01	0	0.21	9.46	107.14	53.54	47.59	71.82	20.3	0.02	0	310.8	25.9	12
2012	14.22	73.42	1.3	0.52	14.61	113.34	172.53	102.15	76.22	3.7	28.1		600.11	54.6	11
2013	3.14	0		0.7	64.9	62.04		42.01	172.31	30.42	25.35	24.51	425.38	42.5	10
2014	0.03					177.4	96.21	172.83	89.96	79.21	4.33	0.33	620.3	77.5	8
2015	0.13	17.22	119.12	40.12	57.4	172.72	85.12	61.72	98.93	49.93	26.62	6.91	735.94	61.3	12
2016	6.51	0.02	37.6	20.81	77.62	102.11	206.12	269.7	35.02	5.82	16.3	0	777.63	64.8	12
2017	0	1.3	20.2	0.63	150.74	52.52	104.54	119.14	274.82	5.35	0	0	729.24	60.8	12
2018	13.02	77	0	5.51	61.23	266	41.05	68.04	147.83	25.64	49.5	0	754.82	62.9	12
