 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2077 
 NOMBRE    : LA MISION 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2013	-1	0	2	3	9	11	11	9	8	5	4	0	61	5.1	12
2014	1	3	5	5	9	10	14	12	11	10	5	1	86	7.2	12
2015	0	4	4	6	8	10	12	12	12	10	2	1	81	6.8	12
2016	2	2	4	5	8	10	14	11	9	10	4	1	80	6.7	12
2017	3	3	4	6	7	9	12	14	8	6	2	0	74	6.2	12
2018	2	0	2	5	6	10	12	12	10	5	5	2	71	5.9	12
2019	1	1	4	5	8	11	11	11	7	6	5	2	72	6	12
2020	2	-2	4	8	8	9	12	12	10	3	2	1	69	5.8	12
MÍNIMA	-1	-2	2	3	4	6	9	9	7	3	0	-2	58	4.8	
MÁXIMA	4	5	6	8	9	12	15	16	15	10	6	2	86	7.2	
MEDIA	1.1	1.8	3.5	5	7.2	9.5	12	12.1	10.1	6.8	3	0.5	72.6	6	
DESV.ST	1.4	1.7	1.3	1.1	1.4	1.5	1.5	1.7	1.9	1.9	1.8	1.2	7.1	0.6	

TEMPERATURA MÍNIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2000	6.6	8.9	8.6	10.9	13.1	15.6	15.8	18.1	17.9	13.4	6.2	5.8	140.9	11.7	12
2001	5.4	6.1	9.9	9.4	14.3	14.4	16.4	16.8	15	12.1	10.1	4.1	134	11.2	12
2002	4.9	5	7.1	10.8	11.8	14.3	17.3	15.3	15.7	12.3	9.6	6	130.1	10.8	12
2003	6.8	9.1	9.4	8.2	11.7	15	16.2	17	16.2	13.9	7.9	4.9	136.3	11.4	12
2004	5.8	6.3	10.4	10.8	12.7	15.5	17.3	16.2	15.9	12.8	6.7	5.2	135.6	11.3	12
2005	7.4	9	9.2	7.9	12	14.4	17	16.6	11.9	11.5	7.5	4.9	129.3	10.8	12
2006	4.4	4.2	6.4	8.8	13.5	16.4	19.6	16	14.5	10.5	7.2	3.5	125	10.4	12
2007	4.4	6.5	7.2	9.5	12.7	13.8	16.8	17.5	14.7	11.5	9.3	5.3	129.2	10.8	12
2008	6.7	5.6	5.4	8.8	11.9	12.2	16.7	18	15.6	11.3	10	6.8	129	10.8	12
2009	8	5.8	6.6	8.5	13.6	14.3	16.2	16.3	14.9	9.8	6.4	5.9	126.3	10.5	12
2010	6	6.6	6.3	8.9	9.9	13.3	15.7	14.1	12.4	12.2	5.7	5.8	116.9	9.7	12
2011	4.8	4.4	6.7	9.3	9.4	13.6	16.8	15.3	14.5	9.8	6.5	2.4	113.5	9.5	12
2012	3.9	5.3	6	8	12	13.7	14.9	18.1	15.8	11.5	7.5	6.5	123.2	10.3	12
2013	4.2	4.3	7.7	9.2	12.4	13.7	15.9	14.2	14.2	9.2	7.6	4.4	117	9.8	12
2014	5.5	6.9	8.9	9.1	12.5	14	16.4	16.2	16.8	12.6	8.7	8.2	135.8	11.3	12
2015	6.6	7.7	8.4	9.2	12.1	14.9	16.9	16.9	17.7	14.9	6.7	4.1	136.1	11.3	12
