Date,22058,22067,22063,22070,22004,22046,22067-2
1996-06-01,30,1.6,34.7,36,48.6,58.3,7
1996-07-01,21,0.9,21.3,22,26.6,5.8,4
1996-08-01,28,4.5,25.8,13,25.3,81.4,20
1996-09-01,56.3,7.2,57.9,49.5,58.8,21.5,32
1996-10-01,29,8.1,32.7,30.5,11.6,24.3,36
1996-11-01,0,0,3.1,10.8,0,0,0
1996-12-01,0,0,0.5,0.5,0,1.3,0
1997-01-01,0,0,1.2,1.1,0,3.2,0
1997-02-01,0,0,0,0,0,0,0
1997-03-01,27,6,33.6,30,30.3,21.1,26.9
1997-04-01,25,6.3,32.6,35,21.7,20.6,28
1997-05-01,13,1.8,16.8,23,13.4,10.5,8
1997-06-01,23,4,33.8,50,24.6,21.2,18
1997-07-01,24,9.5,35.7,21,34.8,29.2,42.2
1997-08-01,11,4.8,22.9,20.4,26.8,14.9,21.4
1997-09-01,14,7.6,19.2,10.7,3.6,11.2,34
1997-10-01,60.5,5.8,32.1,20,19.7,0,25.8
1997-11-01,5,0,10.4,26.4,4.8,7.8,0
1997-12-01,0,0,3,2.7,0,7.8,0
1998-01-01,4,0.2,1.8,1.6,0,0,1
1998-02-01,8,1.7,9.6,12.2,13.6,0,7.6
1998-03-01,2.5,0.2,1.2,1.2,0,0,1
1998-04-01,0,0.1,0.6,0.6,0,1.2,0.5
1998-05-01,2,2.2,11.7,0.3,4.5,25.8,9.6
1998-06-01,40,6.7,37.2,36.4,22.3,18.7,29.8
1998-07-01,45,5.1,28.1,12,18.6,10.8,22.6
1998-08-01,51,7,39.3,33,40,5,31.3
1998-09-01,62.5,9.3,52.4,53,61.5,0,41.6
1998-10-01,49,6.3,35.5,31.4,36.8,0,28.2
1998-11-01,15,4,22.7,36.3,28.6,0,17.8
1998-12-01,0,0,0,0,0,0,0
1999-01-01,0,0,0,0,0,0,0
1999-02-01,0,4.7,26.7,93.5,0,0,20.9
1999-03-01,0,0.1,0.6,2,0,0,0.4
1999-04-01,0,0.2,1.3,2,3,0,1
1999-05-01,0,0.2,1.2,2.5,2,0,0.9
1999-06-01,60.5,6.2,34.3,28,19.3,0,27.5
1999-07-01,20.7,7.7,42.4,28,36.3,48,34.2
1999-08-01,20,3.2,18.2,20,22,0,14.4
1999-09-01,16,2,11.1,6.4,14.7,0,8.8
1999-10-01,0,1.5,8.4,5,28.6,0,6.5
1999-11-01,0,0,0,0,0,0,0
1999-12-01,0,0.2,0.9,0.4,3.2,0,0.7
2000-01-01,0,0,0,0,0,0,0
2000-02-01,0,0,0,0,0,0,0
2000-03-01,0,0,0.2,0.8,0,0,0
2000-04-01,0,0.1,1.7,5.5,0,4.3,0.6
2000-05-01,0,0,4.5,6.1,11.5,16.7,0
2000-06-01,65.6,8.5,51.9,43.6,19.2,40,38
2000-07-01,40.3,7.5,41.7,54,22.7,16.7,33.3
2000-08-01,41,5.8,36.7,30,23.7,16.2,26
2000-09-01,20,5.5,30.5,26.8,19.7,28.7,24.5
2000-10-01,6,1.5,11.3,5.9,22.8,6.3,6.5
2000-11-01,6,2.4,9.8,6,11.3,0,10.5
2000-12-01,2,0.4,2.4,1.6,2.5,0,2
2001-01-01,10,2.5,9.3,3.8,5.5,0.5,11
2001-02-01,8,3.4,12.2,10.5,7.5,0,15
2001-03-01,0,0.6,2.6,1.5,5.8,0,2.7
2001-04-01,12,1.3,7,0,3.6,8.9,6
2001-05-01,7,0.8,6.7,6.2,5.6,28.3,3.5
2001-06-01,56.5,7.4,55.4,32.3,66.8,49.6,33
2001-07-01,35,6.6,48,49,52.7,14.6,29.5
2001-08-01,65,12.7,75.5,56.5,79.7,28,56.5
2001-09-01,10,5,28.3,18.3,52.8,9.3,22.4
2001-10-01,15,4.2,21.5,18.2,21.8,0,18.9
2001-11-01,0,1,2.4,1.3,2.8,0,4.3
2001-12-01,0,1.1,2.1,0,2.5,0,5
2002-01-01,6,3.4,19.6,0,21.3,0,15.3
2002-02-01,12,1,16.5,0,13.5,0,4.6
2002-03-01,0,0,0,0,0,0,0
2002-04-01,0,3.4,29,0,27.3,0,15
