1995-12-01,3.9,3.5,0,4.5,5,3.6
1996-01-01,26.5,22.9,25.9,14,34,26.5
1996-02-01,26.6,26.7,21.3,22,24,25.9
1996-03-01,33,17.6,35.3,26,44,34.3
1996-04-01,1.5,0,0,1.5,4,1.5
1996-05-01,0,0,0,0,0,0
1996-06-01,0,0,0,0,0,0
1996-07-01,2.7,2.3,2.6,0.1,5,2.7
1996-08-01,8.5,8.5,8.2,5,9,8.4
1996-09-01,0,0,0,0,0,0
1996-10-01,7.8,7.3,7.6,0.1,14,7.8
1996-11-01,12.4,6.3,12.5,9.5,18,12.9
1996-12-01,6,6,5.7,4.5,5,5.8
1997-01-01,36.6,27,0,39,59,34.6
1997-02-01,19.2,13.5,15.3,19,21,19.2
1997-03-01,2.2,6.5,0,0,0,1.6
1997-04-01,11.7,12,11.2,5,14,11.5
1997-05-01,0,0,0,0,0,0
1997-06-01,5.4,8,0,4.5,5,4.7
1997-07-01,0,0,0,0,0,0
1997-08-01,0.4,1,0,0.1,0,0.3
1997-09-01,17.1,14.6,14.2,13.5,19,16.9
1997-10-01,0.4,0,0,1,0.5,0.4
1997-11-01,22.7,13,0,35.5,28,21.8
1997-12-01,33.3,44.6,2,27,36.5,29.8
1998-01-01,21.2,11.4,23.6,13.5,31,22
1998-02-01,62.1,46,70.2,62,47,63.2
1998-03-01,37.5,38.7,37,31,26.5,36.8
1998-04-01,18.6,16.7,25,17.5,8.5,18.9
1998-05-01,15.6,7.4,16,12.5,23,16.5
1998-06-01,0.2,0,0.2,0.1,0.5,0.2
1998-07-01,0,0,0,0.1,0,0
1998-08-01,18.3,3.7,19.1,27,18.5,19.8
1998-09-01,3.3,1,3.4,4,4,3.6
1998-10-01,3,0,0,4.5,6,3
1998-11-01,12.1,5.2,12.1,13.5,13.5,12.5
1998-12-01,13.4,13.2,12.8,9,13,13.2
1999-01-01,9,11.9,0,8,9.5,8
1999-02-01,16.9,20.6,21,17.5,0,16.5
1999-03-01,16.8,15.6,18.2,12.5,14.5,16.8
1999-04-01,21.6,18.4,19.2,19,20.4,21.3
1999-05-01,0,0,0,0.1,0,0
1999-06-01,0,0,0.5,1,0.4,0.5
1999-07-01,0,37.9,16.7,3.5,15.7,16.8
1999-08-01,0,0,0,0,0,0
1999-09-01,0,0,0,0.1,0,0
1999-10-01,0,0,0,0,0,0
1999-11-01,0,0,0,0,0,0
1999-12-01,0,3.5,3,3.5,2.9,3.1
2000-01-01,4,11.2,0,6,3,12.9
2000-02-01,21,32.8,24,34,32,27
2000-03-01,18.1,25.2,24.3,20,13,16
2000-04-01,10,4,15,9,0,9.5
2000-05-01,0,0,0,0,0,0
2000-06-01,6,15,0,12.5,8,5.9
2000-07-01,0,0,0,0,0,0
2000-08-01,0,6.4,0,0,0,0
2000-09-01,2.5,0,0,2,3,0
2000-10-01,18,14.4,9.5,4.5,8,9
2000-11-01,8.5,6.7,9.5,10,15.5,2.5
2000-12-01,2.5,3.2,2.9,3.5,2.5,1.5
2001-01-01,28,29.6,26.5,29,24,14.7
2001-02-01,23,26.3,24.5,16.5,20,29
2001-03-01,16,11.3,10.6,10.5,0,17.2
2001-04-01,13,8.3,11.1,10,12.5,10.1
2001-05-01,0,0,0,0,0,0
2001-06-01,0,0,0,0,0,0
2001-07-01,1.5,11.4,4.8,3.5,3,0
2001-08-01,1.5,0,0.7,2,0.2,0
2001-09-01,0,0,0.5,1.5,0,0
2001-10-01,0,0,0,0,0,0
2001-11-01,0,0,9.3,9,13.5,11.5
2001-12-01,6,9.5,11.3,13,11,10.7
2002-01-01,6,4.2,4.8,2,5,7
2002-02-01,3,0,2,1.5,1,4.8
2002-03-01,13,10.4,11.1,9,12,10
2002-04-01,4,4.2,4.3,2.2,2,8
2002-05-01,0,15,3.8,0,0,0
2002-06-01,0,0,0,0,0,0
2002-07-01,0,9.5,3.8,3.5,3.8,0
2002-08-01,0,0,0,0,0,0
2002-09-01,12,0,9.8,10,9.4,15
2002-10-01,1,1.5,0.8,0.5,0.8,0
2002-11-01,14.5,6.4,11,9,10.7,12.5
2002-12-01,21,14.6,16.5,9,16,20
2003-01-01,3,4,2.3,2,2.4,0
2003-02-01,0,27.2,41.6,43,38.6,69
2003-03-01,21,31.4,35.7,28.5,34,48
2003-04-01,24.5,15.2,23.1,25,22.6,21.5
2003-05-01,5,1.2,3.6,2,3.5,6
2003-06-01,2,0,0.5,0,0,2
2003-07-01,5,0,2.7,7,0,2
2003-08-01,2,19.2,5.5,2,0,0
2003-09-01,0,0,0.2,0.5,0,0
2003-10-01,0,0,0,0,0,0
2003-11-01,8,11.5,13.6,9,16.5,14
2003-12-01,20,1.5,13.1,12.5,17.2,17
2004-01-01,8.5,5.2,4.9,4.5,4.1,4.5
2004-02-01,91,47.3,44.7,30,40.1,50
2004-03-01,18.5,7.4,11,6.5,14.2,13.2
2004-04-01,10,4.7,5.8,5,7.2,4.5
2004-05-01,0,0,0,0,0,0
2004-06-01,0,0,0,0,0,0
2004-07-01,0,0,0,0,0,0
2004-08-01,0,0,0.9,3,0,0
2004-09-01,0,0,1.5,5,0,0
2004-10-01,125,63.7,69.1,69,42,80
2004-11-01,13,14.3,14.5,11,20.2,8.5
2004-12-01,30,24.2,54.8,70,35.5,69
2005-01-01,13.5,34.2,29.8,22.5,28.4,36
2005-02-01,26.5,20.2,25.4,23,24.7,25.5
2005-03-01,11,8.4,8.8,4.5,8.6,10.5
2005-04-01,4.5,2.1,4.7,4,4.5,6.9
2005-05-01,2,4.7,3.3,2.5,3.2,2.7
2005-06-01,0,0,0,0,0,0
2005-07-01,0,7.6,2.3,0.5,2.3,0
2005-08-01,0,21.2,6.5,1.5,6.3,0
2005-09-01,0.1,0,0,0,0,0
2005-10-01,0.9,6.7,0,9,6,6.5
2005-11-01,0,0,0,0,0,0
2005-12-01,0,0,0,0,0,0
2006-01-01,8.5,3.2,10,2,5.4,6.5
2006-02-01,7,1.7,4,1.5,3.3,6
2006-03-01,24,25.7,28,24,23.7,11.6
2006-04-01,20.5,8.5,26.5,17,19.3,22.8
2006-05-01,15.5,13.2,25.5,16,19.8,22
2006-06-01,1.5,0,7,0,1.7,0
2006-07-01,6.5,4.9,0,0,1.3,0
2006-08-01,0,0,0,0,0,0
2006-09-01,0,0,0.3,0.8,0.3,0
2006-10-01,4.5,0,3.4,3,3.2,5.5
2006-11-01,3,0,1.2,0.4,1.2,2
2006-12-01,11,6.4,18,4,9.9,11
2007-01-01,6,6.7,8,12,0,16.3
2007-02-01,15,7.3,26,9.5,0,23
2007-03-01,3,2,4.5,5.4,0,3
2007-04-01,8,0,13,5.5,0,11
2007-05-01,0,4.2,2,3.8,0,0
2007-06-01,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0
2007-08-01,0,4,0,0,0,0
2007-09-01,5,15,0,1.5,4,6
2007-10-01,0,0,0,0,0,0
2007-11-01,45,41,54.5,43,45,1.5
2007-12-01,11,8.2,10,8,15,17
2008-01-01,34,27.5,42.6,33,45,32
2008-02-01,27,16.7,24,14,20,26.7
2008-03-01,14,14.5,12,12,10,13
2008-04-01,0,1,0,0,0,0
2008-05-01,12,5,12,6.7,7.3,15.5
2008-06-01,0,0,0,1.1,0,0
2008-07-01,0,0,0,0,8.5,3.8
2008-08-01,2,7,3,3.4,5.5,0
2008-09-01,0,0,0,0,0,0
