 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 22067 
 NOMBRE    : LA VENTA 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2019	35	36	31	32	32	32	27	29	27	28	29	28	366	30.5	12
MÍNIMA	14	17	19	23	26	23	23	25	25	26	24	22	21	21	
MÁXIMA	35	37	33	35	36	36	41	32	35	35	36	32	366	31.6	
MEDIA	25.8	27.8	29.7	31.4	32.3	30.9	29.3	28.9	29.1	29.2	28.5	26.9	286.3	28.8	
DESV.ST	4.8	4.6	3.8	3	3.2	3.3	3.1	1.5	2.2	2	2.5	2.7	95.1	2.4	

TEMPERATURA MÁXIMA PROMEDIO
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984						27.1	23.7	25.1	23.7	26.3	23.6	24.1	173.6	24.8	7
1985	22.3	23.7	27.1	27.5	28.8		25	25.9	28.3	26.2	25.6	22.9	283.3	25.8	11
1986	22	24.9	25.8	29.8	29.9	26.2	25.7	27.1	27.4	24	24.1	22.4	309.3	25.8	12
1987	23.9		25.2	27.7	26.9	30.1	25.2	26.2	29	25.9	25	25.5	290.6	26.4	11
1988	24.6	26.5	27	29.1	31.4	29.4	26.6	26.2	29.1	25	26.4	23.6	324.9	27.1	12
1989	24.1	24	27.5	29.4	31.7	29	27.7	26.8	25.7		26.6		272.5	27.2	10
1990	25.1	23.9	27	29.7	30.4	28.5	27		25.5	24.4	24.7	24.5	290.7	26.4	11
1991	24.5	25.1	29.4	31.1	31.5	29.5	25	27.1	25.4	24.1			272.7	27.3	10
1992	19.6	22.1	27.5										69.2	23.1	3
1993		25.5	25.9	28.6	29.6	29	26.9	27			25.4	24.2	242.1	26.9	9
