 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2004 
 NOMBRE    : IGNACIO ZARAGOZA -BELEN- 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2002	16.5	19.5	17.3	20.5	22.7	28.3							124.8	20.8	6
2003						36.7	44.7	45.7	44	41.5	29	28.4	270	38.6	7
2004	28	25.8	34.9	33.7	37.8	38.1	42.2	43.6	42.3	31.5	24.2	21.8	403.9	33.7	12
2007					33.1	31.5	33.6	35.9	30.4	26.8	22.8	15.2	229.3	28.7	8
2008	13.6	15.9	21	22.9	25.3	33.8	34.1	34.3	33	30	24.5		288.4	26.2	11
2009	20	17.4	18.9	22.2	28.5	25.8	36.3	34.4	35	26.9	25.5	15.4	306.3	25.5	12
2010	17.6	16.7	18.9	19.1	23.9	28.5	32.2	33.3	33.2	24.6	20.3	18.3	286.6	23.9	12
2011	18.6	15.6	19.1	22.7	24	29.3	32.7	36	33.5	29.2	20.6	16.9	298.2	24.9	12
2012	22	18.7	21.5	23.5	28.8	32.1	34.6	37	36.2	29.8			284.2	28.4	10
2013	16	16.8	23.3	24.3	27.7	32.6	35.2	35.1	33.7	26.1	22.5	19.7	313	26.1	12
2014	24.6	21.8	23.1	25.4	29.3	32.5	34.6	34.6	35	29.9	24	17.4	332.2	27.7	12
2015	20.1	23.8	25.3	24.8	22	32.8	32.2	35.5	32.8	28.5	22.1	17.3	317.2	26.4	12
2016	16.7	24.7	21.3	23.8	22.9	32.1	34.1	35.5	31.6	23	21.4	15.9	303	25.2	12
2017	14	17.2	21.7	25.3	25.4	32.6	34.5	34.9	30.2	23.4	24.3	22.7	306.2	25.5	12
2018	23.2	15.9	19.8	25.4	24.5	27.4			33.3	27	23.1	17.6	237.2	23.7	10
2019	17.1	13.6	17.8	23.7	19.7	22.1	31	34	31.5	35.2	29.7	18.8	294.2	24.5	12
2020	18.7	18.3	15.4	17.8	20	22.7	21.3	40.5	36.7	21.9	17.8	17.8	268.9	22.4	12
MÍNIMA	12.9	12.3	14.4	12.9	19.1	21.9	21.3	30.6	26.7	21.4	15.3	14.2	17.5	17.5	
MÁXIMA	33.9	25.8	34.9	33.7	37.8	43.1	44.7	45.7	44	41.5	29.7	28.4	403.9	38.6	
MEDIA	18.9	18.6	19.6	22.4	25.3	29.9	33.7	34.6	32.3	27.2	22.3	18.3	278.5	25.1	
DESV.ST	3.9	2.9	3.5	3.4	3.4	4.1	3.3	2.9	3.3	3.5	2.8	2.9	63.9	3.1	

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964												-2.5	-2.5	-2.5	1
1965	-3.5	-3.5	-3	0	2.5	5	8	10	6	3	1	-4	21.5	1.8	12
1966	-5	-3	-3.5	1	3	4.5	8	8	7	-5.5	2	-7	9.5	0.8	12
1967	-5	-5	0	0	1	3	11	13.5	11	4	3	0	36.5	3	12
1968	-4	1	-2	0	4	6	8	9	5	3.5	-2	-5	23.5	2	12
1969	-3	-3	-2	2	4	7.5	6	7.5	7.5	2	1.5	-6	24	2	12
1970	-6	-2	-2	-3	4	9	11	12	4	1	1	-6	23	1.9	12
1971	-3	-3	-3	0	3	2	6.5	11.5	5	-2	-2	-3	12	1	12
1972	-6	-6.5	-2	0	4.5	9	11	9.5	7.5	7	-4	-5.5	24.5	2	12
1973	-5	-0.5	-1.5	0	3.5	7	5.5	7	5	2.5	-0.5	-1	22	1.8	12
1974	-2	-3.5	-1.5	0	4	7.5	10	9	15	6	1.5	-6	40	3.3	12
1975	-3	-3.5	0.5	-0.5	1	6.5	9	9	10	3	-4	-2.5	25.5	2.1	12
1976	0	2	0.5	2	5.5	6	9	9	12	3.5	4.5	-5	49	4.1	12
1977	-1	-5	-1	2	4	10	10	13	6	5	0	0	43	3.6	12
1978	0	-1	2	2	4	6	6	10	5	4	0	-4	34	2.8	12
1979	-4	-2	0	0	0	4	7	10	8	0	0	-5	18	1.5	12
